[사이판 가족여행 첫번날] 인천공항 나들이 + 셔틀트레인 + 제주항공 사이판공항...,[사이판 가족여행 첫번날] 인천공항 나들이 + 셔틀트레인 + 제주항공 사이판공항 + 켄싱턴리조트 (2019-04-24) 사이판 가족여행 첫번째날입니다..... 제주항공은 탑승권을 전자발권을 스스로 한 후 수화물을 맞기시면 됩니다.. 수화물을 맞기고 드디어 인천공항 면세점공간으로 들어왔습니다.. 이곳...
제주항공 승무원 최종 면접 합격 5명! :),"제주항공과 티웨이 대한항공 정도였는데. 너무 한꺼번에 뜨는 바람에 이 친구도, 저도 정신이 하나도 없었어요.. 이번 상반기에 어디든 못 가면 다시 직장생활을 해야 하는 현실적인 문제도 있었기 때문이죠!! 잘 이겨내고, 4년간의 인연 끝에 얻어낸 값진 성과에 박수를 보냅니다!! 2. 제주항공 실탈..."
제주 항공우주박물관 아이들과 가볼만한 곳으로 좋아요!,"아들 녀석이 같은 반 친구가 얼마 전, 제주 항공우주박물관을 다녀왔는데 자기는 한번도 가보지 않아서 대화의 축에 끼지를 못한다나 어쩐다나... 아 근데 제가 이렇게 글을 끄적이게 된 건 직접 다녀와보니까 제주 항공우주박물관이 아이들과 가볼만한 곳으로 좋더라구요. 자세히는 아니겠지만..."
[사이판여행] 제주항공 타고 사이판 여행 시작!,북마리아나제도 사이판 여행 제주항공 타고 사이판여행 시작! "JEJU AIR" 여행기간 : 2019.02.01 ~ 2019.02.06 지난 2월에 다녀온 사이판 여행 사이판은... 이런 하늘 보는 것만으로도 힐링 제주항공 기내식 메뉴 사이판까지는 4시간 20분 정도 소요되는데 저가 항공사라 기내식은 제공되지 않는다. 대신...
제주 항공우주박물관. 새로운 체험게임. "번개레이싱",항공우주박물관 위치 알려드릴께요 #제주항공우주박물관 은 #오설록 #이니스프리 #녹차밭 바로 옆에 있답니다. 근처관광지로는 #유리의성 #새별오름 #소인국테마파크 #카멜리아힐 이 있어요. 항공박물관이라 외관도 뭔가 테크노틱 합니다. 그래도 #제주서쪽 에 이런 큰 실내 박물관이 있어서 날씨가...
제주항공 탑승기(후기) 수화물 규정 기내 반입,내가 원하는 시간에 맞게 예매하는 것이 녹녹치 않더라구요~ 계속 스카이스캐너를 보며 이리 저리 검색하다가 발견한 #항공권 #제주항공 으로... 07 (일) 19:00 ~ 22:05 #제주항공수화물규정 여느 저가항공보다는 괜찮았습니다. 티켓의 종류에 따라서 조금 다르더라구요. 국내선은 20kg/15kg/유료...
[BOMNAL_Honeymoon] 1. 김포-&gt;제주도 비행기 티켓 예매 _ 제주항공,#봄날부부 #봄날부부허니문 #봄날부부신혼여행 #신혼여행 #희열상아허니문 #희열상아신혼여행 #국내여행 #제주도 #제주도여행 #제주항공 #제주에어 #제주항공여행 #제주에어여행 봄날부부 _ 작은 신혼여행 저희는 결혼식 끝나고 바로 신혼여행을 가는게 아니라 미뤘어요 ! 신랑 직장에서...
[사이판 여행기 1편] 제주항공 타고 사이판으로 ...(맥주줘!),"맥주따위 주지 않는 숭악한 제주항공에서 마셔줄 일용할 양식 네캔 만원 맥주부터 골라들고 내 사랑 카스라이트는 옵션으로 두캔 더 나는 술이... 위해 제주항공 유료 메뉴판 한번 펼쳐 주시고! (어머, 한때 내 최애 오빠.. 오빠 나보다 어린애랑 결혼해서 잘 살지?) 최기사를 위한 만인의 메뉴..."
제주항공 호치민,사실 이번에 제주항공 처음으로 이용해 보았어요. 나름 LCC많이 이용 했는데 어쩌다 보니 이번이 처음이었어요. 결론은 대만족 입니다. 1.믿지 못... 그때쯤 제주항공 찜특가를 진행했어요. 광고하는 그 가격! 정말 이 가격 좌석은 확보하고 프로모션하는 것인지 맨날 의심 했었는데 또 프로모션...
괌비행기 제주항공(JC3106) 기내식 + 괌입국심사 후기 !,"이번에 갈때 인천공항에서 괌으로 가는 편으로 했는데, 제주항공(JC3106)편을 이용했어요. 먼저 자리는 이정도 ! 한국(인천공항)에서 괌까지는 4시간정도 소요되어요. 대신 괌에서 인천갈때는 기류때문에 4시간을 조금 넘기고 비행기가 많이 흔들려서 더 힘들었어요. 원래 제주항공은 저가항공이라서..."
